temp_c,pressure_bar,b_micro_per_c,source_page
1.0,0.981,-98.620000,56
2.0,0.981,-79.890000,56
3.0,0.981,-61.810000,56
4.0,0.981,-44.340000,56
5.0,0.981,-27.470000,56
6.0,0.981,-11.140000,56
7.0,0.981,4.660000,56
8.0,0.981,19.980000,56
9.0,0.981,34.820000,57
10.0,0.981,49.220000,57
11.0,0.981,63.200000,57
12.0,0.981,76.780000,57
13.0,0.981,89.990000,57
14.0,0.981,102.830000,57
15.0,0.981,115.340000,57
16.0,0.981,127.520000,58
17.0,0.981,139.410000,58
18.0,0.981,151.000000,58
19.0,0.981,162.310000,58
20.0,0.981,173.370000,58
21.0,0.981,184.180000,58
22.0,0.981,194.750000,58
23.0,0.981,205.080000,58
24.0,0.981,215.220000,59
25.0,0.981,215.140000,59
26.0,0.981,234.880000,59
27.0,0.981,244.410000,59
28.0,0.981,253.790000,59
29.0,0.981,263.000000,59
30.0,0.981,272.030000,59
1.0,10.0,-95.550000,56
2.0,10.0,-76.940000,56
3.0,10.0,-58.990000,56
4.0,10.0,-41.650000,56
5.0,10.0,-24.890000,56
6.0,10.0,-8.670000,56
7.0,10.0,7.020000,56
8.0,10.0,22.230000,56
9.0,10.0,36.970000,57
10.0,10.0,51.260000,57
11.0,10.0,65.150000,57
12.0,10.0,78.640000,57
13.0,10.0,91.750000,57
14.0,10.0,104.510000,57
15.0,10.0,116.930000,57
16.0,10.0,129.020000,58
17.0,10.0,140.830000,58
18.0,10.0,152.360000,58
19.0,10.0,163.580000,58
20.0,10.0,174.560000,58
21.0,10.0,185.300000,58
22.0,10.0,195.790000,58
23.0,10.0,206.070000,58
24.0,10.0,216.130000,59
25.0,10.0,225.990000,59
26.0,10.0,235.660000,59
27.0,10.0,245.130000,59
28.0,10.0,254.440000,59
29.0,10.0,264.270000,59
30.0,10.0,272.570000,59
1.0,20.0,-92.150000,56
2.0,20.0,-73.680000,56
3.0,20.0,-55.860000,56
4.0,20.0,-38.640000,56
5.0,20.0,-22.010000,56
6.0,20.0,-5.920000,56
7.0,20.0,9.650000,56
8.0,20.0,24.740000,56
9.0,20.0,39.360000,57
10.0,20.0,53.550000,57
11.0,20.0,67.330000,57
12.0,20.0,80.710000,57
13.0,20.0,93.720000,57
14.0,20.0,106.390000,57
15.0,20.0,118.710000,57
16.0,20.0,130.710000,58
17.0,20.0,142.420000,58
18.0,20.0,153.850000,58
19.0,20.0,165.000000,58
20.0,20.0,175.900000,58
21.0,20.0,186.550000,58
22.0,20.0,196.960000,58
23.0,20.0,207.160000,58
24.0,20.0,217.150000,59
25.0,20.0,226.940000,59
26.0,20.0,236.530000,59
27.0,20.0,245.940000,59
28.0,20.0,255.180000,59
29.0,20.0,264.590000,59
30.0,20.0,273.180000,59
1.0,30.0,-88.740000,56
2.0,30.0,-70.400000,56
3.0,30.0,-52.720000,56
4.0,30.0,-35.630000,56
5.0,30.0,-19.140000,56
6.0,30.0,-3.160000,56
7.0,30.0,12.290000,56
8.0,30.0,27.260000,56
9.0,30.0,41.760000,57
10.0,30.0,55.840000,57
11.0,30.0,69.510000,57
12.0,30.0,82.790000,57
13.0,30.0,95.700000,57
14.0,30.0,108.260000,57
15.0,30.0,120.490000,57
16.0,30.0,132.400000,58
17.0,30.0,144.020000,58
18.0,30.0,155.350000,58
19.0,30.0,166.420000,58
20.0,30.0,177.230000,58
21.0,30.0,187.800000,58
22.0,30.0,198.140000,58
23.0,30.0,208.260000,58
24.0,30.0,218.180000,59
25.0,30.0,227.880000,59
26.0,30.0,237.410000,59
27.0,30.0,246.750000,59
28.0,30.0,255.930000,59
29.0,30.0,264.950000,59
30.0,30.0,273.800000,59
1.0,40.0,-85.320000,56
2.0,40.0,-67.120000,56
3.0,40.0,-49.580000,56
4.0,40.0,-32.620000,56
5.0,40.0,-16.240000,56
6.0,40.0,-0.410000,56
7.0,40.0,14.930000,56
8.0,40.0,29.780000,56
9.0,40.0,44.180000,57
10.0,40.0,58.140000,57
11.0,40.0,71.700000,57
12.0,40.0,84.870000,57
13.0,40.0,97.680000,57
14.0,40.0,110.140000,57
15.0,40.0,122.280000,57
16.0,40.0,134.100000,58
17.0,40.0,145.620000,58
18.0,40.0,156.870000,58
19.0,40.0,167.850000,58
20.0,40.0,178.580000,58
21.0,40.0,189.070000,58
22.0,40.0,199.330000,58
23.0,40.0,209.370000,58
24.0,40.0,219.210000,59
25.0,40.0,228.850000,59
26.0,40.0,238.300000,59
27.0,40.0,247.580000,59
28.0,40.0,256.690000,59
29.0,40.0,265.640000,59
30.0,40.0,274.420000,59
1.0,50.0,-81.900000,56
2.0,50.0,-63.840000,56
3.0,50.0,-46.430000,56
4.0,50.0,-29.600000,56
5.0,50.0,-13.360000,56
6.0,50.0,2.360000,56
7.0,50.0,17.570000,56
8.0,50.0,32.310000,56
9.0,50.0,46.600000,57
10.0,50.0,60.450000,57
11.0,50.0,73.900000,57
12.0,50.0,86.960000,57
13.0,50.0,99.680000,57
14.0,50.0,112.040000,57
15.0,50.0,124.070000,57
16.0,50.0,135.800000,58
17.0,50.0,147.240000,58
18.0,50.0,158.390000,58
19.0,50.0,169.850000,58
20.0,50.0,179.930000,58
21.0,50.0,190.340000,58
22.0,50.0,200.520000,58
23.0,50.0,210.490000,58
24.0,50.0,220.250000,59
25.0,50.0,229.820000,59
26.0,50.0,239.200000,59
27.0,50.0,248.400000,59
28.0,50.0,257.450000,59
29.0,50.0,266.330000,59
30.0,50.0,275.070000,59
1.0,60.0,-78.470000,56
2.0,60.0,-60.550000,56
3.0,60.0,-43.270000,56
4.0,60.0,-26.580000,56
5.0,60.0,-10.460000,56
6.0,60.0,5.150000,56
7.0,60.0,20.230000,56
8.0,60.0,34.850000,56
9.0,60.0,49.020000,57
10.0,60.0,62.760000,57
11.0,60.0,76.100000,57
12.0,60.0,89.070000,57
13.0,60.0,102.670000,57
14.0,60.0,113.930000,57
15.0,60.0,125.880000,57
16.0,60.0,137.510000,58
17.0,60.0,148.860000,58
18.0,60.0,159.920000,58
19.0,60.0,170.730000,58
20.0,60.0,181.290000,58
21.0,60.0,191.620000,58
22.0,60.0,201.720000,58
23.0,60.0,211.610000,58
24.0,60.0,221.300000,59
25.0,60.0,230.790000,59
26.0,60.0,240.110000,59
27.0,60.0,249.240000,59
28.0,60.0,258.220000,59
29.0,60.0,267.040000,59
30.0,60.0,275.700000,59
1.0,70.0,-75.030000,56
2.0,70.0,-57.250000,56
3.0,70.0,-40.100000,56
4.0,70.0,-23.540000,56
5.0,70.0,-7.560000,56
6.0,70.0,7.920000,56
7.0,70.0,22.890000,56
8.0,70.0,37.390000,56
9.0,70.0,51.440000,57
10.0,70.0,65.080000,57
11.0,70.0,78.320000,57
12.0,70.0,91.170000,57
13.0,70.0,103.680000,57
14.0,70.0,115.840000,57
15.0,70.0,127.690000,57
16.0,70.0,139.220000,58
17.0,70.0,150.490000,58
18.0,70.0,161.460000,58
19.0,70.0,172.180000,58
20.0,70.0,182.660000,58
21.0,70.0,192.910000,58
22.0,70.0,202.930000,58
23.0,70.0,212.740000,58
24.0,70.0,222.350000,59
25.0,70.0,231.780000,59
26.0,70.0,241.020000,59
27.0,70.0,250.080000,59
28.0,70.0,258.990000,59
29.0,70.0,267.750000,59
30.0,70.0,276.350000,59
1.0,80.0,-71.600000,56
2.0,80.0,-53.960000,56
3.0,80.0,-36.940000,56
4.0,80.0,-20.510000,56
5.0,80.0,-4.650000,56
6.0,80.0,10.700000,56
7.0,80.0,25.550000,56
8.0,80.0,39.940000,56
9.0,80.0,53.880000,57
10.0,80.0,67.400000,57
11.0,80.0,80.530000,57
12.0,80.0,93.290000,57
13.0,80.0,105.690000,57
14.0,80.0,117.760000,57
15.0,80.0,129.500000,57
16.0,80.0,140.950000,58
17.0,80.0,152.110000,58
18.0,80.0,163.000000,58
19.0,80.0,173.640000,58
20.0,80.0,184.030000,58
21.0,80.0,194.200000,58
22.0,80.0,204.140000,58
23.0,80.0,213.880000,58
24.0,80.0,223.420000,59
25.0,80.0,232.770000,59
26.0,80.0,241.940000,59
27.0,80.0,250.930000,59
28.0,80.0,259.780000,59
29.0,80.0,268.470000,59
30.0,80.0,277.010000,59
1.0,90.0,-68.160000,56
2.0,90.0,-50.660000,56
3.0,90.0,-33.770000,56
4.0,90.0,-17.470000,56
5.0,90.0,-1.730000,56
6.0,90.0,13.500000,56
7.0,90.0,28.230000,56
8.0,90.0,42.500000,56
9.0,90.0,56.320000,57
10.0,90.0,69.730000,57
11.0,90.0,82.750000,57
12.0,90.0,95.410000,57
13.0,90.0,107.700000,57
14.0,90.0,119.670000,57
15.0,90.0,131.320000,57
16.0,90.0,142.670000,58
17.0,90.0,153.750000,58
18.0,90.0,164.560000,58
19.0,90.0,175.100000,58
20.0,90.0,185.410000,58
21.0,90.0,195.500000,58
22.0,90.0,205.360000,58
23.0,90.0,215.030000,58
24.0,90.0,224.480000,59
25.0,90.0,233.760000,59
26.0,90.0,242.870000,59
27.0,90.0,251.790000,59
28.0,90.0,260.570000,59
29.0,90.0,269.190000,59
30.0,90.0,277.660000,59
1.0,100.0,-64.720000,56
2.0,100.0,-47.350000,56
3.0,100.0,-30.600000,56
4.0,100.0,-14.430000,56
5.0,100.0,1.180000,56
6.0,100.0,16.290000,56
7.0,100.0,30.900000,56
8.0,100.0,45.050000,56
9.0,100.0,58.770000,57
10.0,100.0,72.070000,57
11.0,100.0,84.980000,57
12.0,100.0,97.530000,57
13.0,100.0,109.730000,57
14.0,100.0,121.590000,57
15.0,100.0,133.150000,57
16.0,100.0,144.420000,58
17.0,100.0,155.400000,58
18.0,100.0,166.110000,58
19.0,100.0,176.580000,58
20.0,100.0,186.800000,58
21.0,100.0,196.800000,58
22.0,100.0,206.590000,58
23.0,100.0,216.170000,58
24.0,100.0,225.560000,59
25.0,100.0,234.760000,59
26.0,100.0,243.790000,59
27.0,100.0,252.660000,59
28.0,100.0,261.360000,59
29.0,100.0,269.920000,59
30.0,100.0,278.330000,59
1.0,110.0,-61.280000,56
2.0,110.0,-44.050000,56
3.0,110.0,-27.430000,56
4.0,110.0,-11.380000,56
5.0,110.0,4.100000,56
6.0,110.0,19.080000,56
7.0,110.0,33.580000,56
8.0,110.0,47.610000,56
9.0,110.0,61.210000,57
10.0,110.0,74.410000,57
11.0,110.0,87.220000,57
12.0,110.0,99.660000,57
13.0,110.0,111.750000,57
14.0,110.0,123.520000,57
15.0,110.0,134.980000,57
16.0,110.0,146.150000,58
17.0,110.0,157.040000,58
18.0,110.0,167.660000,58
19.0,110.0,178.050000,58
20.0,110.0,188.200000,58
21.0,110.0,198.120000,58
22.0,110.0,207.820000,58
23.0,110.0,217.330000,58
24.0,110.0,226.640000,59
25.0,110.0,235.780000,59
26.0,110.0,244.730000,59
27.0,110.0,253.530000,59
28.0,110.0,262.170000,59
29.0,110.0,270.770000,59
30.0,110.0,279.010000,59
1.0,120.0,-57.840000,56
2.0,120.0,-40.740000,56
3.0,120.0,-24.260000,56
4.0,120.0,-8.340000,56
5.0,120.0,7.020000,56
6.0,120.0,21.880000,56
7.0,120.0,36.260000,56
8.0,120.0,50.180000,56
9.0,120.0,63.670000,57
10.0,120.0,76.740000,57
11.0,120.0,89.450000,57
12.0,120.0,101.790000,57
13.0,120.0,113.790000,57
14.0,120.0,125.460000,57
15.0,120.0,136.820000,57
16.0,120.0,147.900000,58
17.0,120.0,158.700000,58
18.0,120.0,169.240000,58
19.0,120.0,179.540000,58
20.0,120.0,189.590000,58
21.0,120.0,199.440000,58
22.0,120.0,209.060000,58
23.0,120.0,218.490000,58
24.0,120.0,227.730000,59
25.0,120.0,236.790000,59
26.0,120.0,245.680000,59
27.0,120.0,254.400000,59
28.0,120.0,262.980000,59
29.0,120.0,271.410000,59
30.0,120.0,279.690000,59
1.0,130.0,-54.400000,56
2.0,130.0,-37.440000,56
3.0,130.0,-21.080000,56
4.0,130.0,-5.290000,56
5.0,130.0,9.950000,56
6.0,130.0,24.680000,56
7.0,130.0,38.940000,56
8.0,130.0,52.750000,56
9.0,130.0,66.120000,57
10.0,130.0,79.090000,57
11.0,130.0,91.690000,57
12.0,130.0,103.930000,57
13.0,130.0,115.830000,57
14.0,130.0,127.390000,57
15.0,130.0,138.670000,57
16.0,130.0,149.650000,58
17.0,130.0,160.360000,58
18.0,130.0,170.810000,58
19.0,130.0,181.020000,58
20.0,130.0,191.000000,58
21.0,130.0,200.750000,58
22.0,130.0,210.310000,58
23.0,130.0,219.660000,58
24.0,130.0,228.820000,59
25.0,130.0,237.810000,59
26.0,130.0,246.630000,59
27.0,130.0,255.280000,59
28.0,130.0,263.690000,59
29.0,130.0,272.160000,59
30.0,130.0,280.380000,59
1.0,140.0,-50.960000,56
2.0,140.0,-34.130000,56
3.0,140.0,-17.900000,56
4.0,140.0,-2.250000,56
5.0,140.0,12.870000,56
6.0,140.0,27.490000,56
7.0,140.0,41.630000,56
8.0,140.0,55.320000,56
9.0,140.0,68.580000,57
10.0,140.0,81.450000,57
11.0,140.0,93.930000,57
12.0,140.0,106.070000,57
13.0,140.0,117.670000,57
14.0,140.0,129.340000,57
15.0,140.0,140.510000,57
16.0,140.0,151.400000,58
17.0,140.0,162.030000,58
18.0,140.0,172.390000,58
19.0,140.0,182.510000,58
20.0,140.0,192.410000,58
21.0,140.0,202.090000,58
22.0,140.0,211.560000,58
23.0,140.0,220.840000,58
24.0,140.0,229.920000,59
25.0,140.0,238.840000,59
26.0,140.0,247.590000,59
27.0,140.0,256.180000,59
28.0,140.0,264.620000,59
29.0,140.0,272.920000,59
30.0,140.0,281.080000,59
1.0,150.0,-47.530000,56
2.0,150.0,-30.830000,56
3.0,150.0,-14.730000,56
4.0,150.0,0.800000,56
5.0,150.0,15.790000,56
6.0,150.0,30.290000,56
7.0,150.0,44.310000,56
8.0,150.0,57.890000,56
9.0,150.0,71.050000,57
10.0,150.0,83.800000,57
11.0,150.0,96.180000,57
12.0,150.0,108.210000,57
13.0,150.0,119.900000,57
14.0,150.0,131.200000,57
15.0,150.0,142.370000,57
16.0,150.0,153.160000,58
17.0,150.0,163.700000,58
18.0,150.0,173.980000,58
19.0,150.0,184.000000,58
